Date,SP500,DJI
2019-05-01,2752.06005859375,24815.0390625
2019-06-01,2941.760009765625,26599.9609375
2019-07-01,2980.3798828125,26864.26953125
2019-08-01,2926.4599609375,26403.279296875
2019-09-01,2976.739990234375,26916.830078125
2019-10-01,3037.56005859375,27046.23046875
2019-11-01,3140.97998046875,28051.41015625
2019-12-01,3230.780029296875,28538.439453125
2020-01-01,3225.52001953125,28256.029296875
2020-02-01,2954.219970703125,25409.359375
2020-03-01,2584.590087890625,21917.16015625
2020-04-01,2912.429931640625,24345.720703125
2020-05-01,3044.31005859375,25383.109375
2020-06-01,3100.2900390625,25812.880859375
2020-07-01,3271.1201171875,26428.3203125
2020-08-01,3500.31005859375,28430.05078125
2020-09-01,3363.0,27781.69921875
2020-10-01,3269.9599609375,26501.599609375
2020-11-01,3621.6298828125,29638.640625
2020-12-01,3756.070068359375,30606.48046875
2021-01-01,3714.239990234375,29982.619140625
2021-02-01,3811.14990234375,30932.369140625
2021-03-01,3972.889892578125,32981.55078125
2021-04-01,4181.169921875,33874.8515625
2021-05-01,4204.10986328125,34529.44921875
2021-06-01,4297.5,34502.51171875
2021-07-01,4395.259765625,34935.46875
2021-08-01,4522.68017578125,35360.73046875
2021-09-01,4307.5400390625,33843.921875
2021-10-01,4605.3798828125,35819.55859375
2021-11-01,4567.0,34483.71875
2021-12-01,4766.18017578125,36338.30078125
2022-01-01,4515.5498046875,35131.859375
2022-02-01,4373.93994140625,33892.6015625
2022-03-01,4530.41015625,34678.3515625
2022-04-01,4131.93017578125,32977.2109375
2022-05-01,4132.14990234375,32990.12109375
2022-06-01,3785.3798828125,30775.4296875
2022-07-01,4130.2900390625,32845.12890625
2022-08-01,3955.0,31510.4296875
2022-09-01,4067.360107421875,32151.7109375
2022-09-09,4067.360107421875,32151.7109375
